# cBioPortal Tumor_Sample_Barcode -> portal specimenID / individualID.
# Regenerate with scripts/map_cbioportal_samples.py. Rows whose `method` is
# not one of (prefix_guess, strip_last_segment, unmatched, verbatim) are treated as
# human-authored and preserved on rerun -- use method=manual for hand fixes.
study_id	tumor_sample_barcode	specimen_id	individual_id	method	notes
nst_nfosi_ntap	JH-2-009-2578C-A	JH-2-009-2578C	JH-2-009	strip_last_segment	
nst_nfosi_ntap	JH-2-009-518B9-A	JH-2-009-518B9	JH-2-009	strip_last_segment	
nst_nfosi_ntap	JH-2-010-H915D-A	JH-2-010-H915D	JH-2-010	strip_last_segment	
nst_nfosi_ntap	JH-2-012-HE58H-A	JH-2-012-HE58H	JH-2-012	strip_last_segment	
nst_nfosi_ntap	JH-2-013-7886G-A	JH-2-013-7886G	JH-2-013	strip_last_segment	
nst_nfosi_ntap	JH-2-014-AH466-A	JH-2-014-AH466	JH-2-014	strip_last_segment	
nst_nfosi_ntap	JH-2-015-55B8D-A	JH-2-015-55B8D	JH-2-015	strip_last_segment	
nst_nfosi_ntap	JH-2-015-6AD96-A	JH-2-015-6AD96	JH-2-015	strip_last_segment	
nst_nfosi_ntap	JH-2-015-C436G-A	JH-2-015-C436G	JH-2-015	strip_last_segment	
nst_nfosi_ntap	JH-2-015-G41AC-A	JH-2-015-G41AC	JH-2-015	strip_last_segment	
nst_nfosi_ntap	JH-2-016-4H597-A	JH-2-016-4H597	JH-2-016	strip_last_segment	
nst_nfosi_ntap	JH-2-016-6H516-A	JH-2-016-6H516	JH-2-016	strip_last_segment	
nst_nfosi_ntap	JH-2-017-9FH8F-A	JH-2-017-9FH8F	JH-2-017	strip_last_segment	
nst_nfosi_ntap	JH-2-019-DB5EH-A	JH-2-019-DB5EH	JH-2-019	strip_last_segment	
nst_nfosi_ntap	JH-2-021-6GFE7-A	JH-2-021-6GFE7	JH-2-021	strip_last_segment	
nst_nfosi_ntap	JH-2-023-1G2BC-A	JH-2-023-1G2BC	JH-2-023	strip_last_segment	
nst_nfosi_ntap	JH-2-023-876HC-A	JH-2-023-876HC	JH-2-023	strip_last_segment	
nst_nfosi_ntap	JH-2-023-89E1F-A	JH-2-023-89E1F	JH-2-023	strip_last_segment	
nst_nfosi_ntap	JH-2-023-91HBD-A	JH-2-023-91HBD	JH-2-023	strip_last_segment	
nst_nfosi_ntap	JH-2-023-9DA42-A	JH-2-023-9DA42	JH-2-023	strip_last_segment	
nst_nfosi_ntap	JH-2-026-9FD64-A	JH-2-026-9FD64	JH-2-026	strip_last_segment	
nst_nfosi_ntap	JH-2-029-7AE7F-A	JH-2-029-7AE7F	JH-2-029	strip_last_segment	
nst_nfosi_ntap	JH-2-031-9GEA9-A	JH-2-031-9GEA9	JH-2-031	strip_last_segment	
nst_nfosi_ntap	JH-2-032-AE88A-A	JH-2-032-AE88A	JH-2-032	strip_last_segment	
nst_nfosi_ntap	JH-2-044-83F15-A	JH-2-044-83F15	JH-2-044	strip_last_segment	
nst_nfosi_ntap	JH-2-045-F7H3C-A	JH-2-045-F7H3C	JH-2-045	strip_last_segment	
nst_nfosi_ntap	JH-2-045-GH3AA-A	JH-2-045-GH3AA	JH-2-045	strip_last_segment	
nst_nfosi_ntap	JH-2-054-241HF-A			unmatched	no portal specimenID among 'JH-2-054-241HF-A', 'JH-2-054-241HF'; set method=manual to fix by hand
nst_nfosi_ntap	JH-2-054-9255F-A			unmatched	no portal specimenID among 'JH-2-054-9255F-A', 'JH-2-054-9255F'; set method=manual to fix by hand
nst_nfosi_ntap	JH-2-055-1419H-9GG15	JH-2-055-1419H	JH-2-055	strip_last_segment	
nst_nfosi_ntap	JH-2-055-E1381-A	JH-2-055-E1381	JH-2-055	strip_last_segment	
nst_nfosi_ntap	JH-2-055-FC9GH-A	JH-2-055-FC9GH	JH-2-055	strip_last_segment	
nst_nfosi_ntap	JH-2-057-37D5D-A	JH-2-057-37D5D	JH-2-057	strip_last_segment	
nst_nfosi_ntap	JH-2-060-19EC4-A			unmatched	no portal specimenID among 'JH-2-060-19EC4-A', 'JH-2-060-19EC4'; set method=manual to fix by hand
nst_nfosi_ntap	JH-2-060-4CE8D-A			unmatched	no portal specimenID among 'JH-2-060-4CE8D-A', 'JH-2-060-4CE8D'; set method=manual to fix by hand
nst_nfosi_ntap	JH-2-061-1H66H-A	JH-2-061-1H66H	JH-2-061	strip_last_segment	
nst_nfosi_ntap	JH-2-068-2BHHG-A	JH-2-068-2BHHG	JH-2-068	strip_last_segment	
nst_nfosi_ntap	JH-2-068-A733G-A			unmatched	no portal specimenID among 'JH-2-068-A733G-A', 'JH-2-068-A733G'; set method=manual to fix by hand
nst_nfosi_ntap	JH-2-068-A7488-A			unmatched	no portal specimenID among 'JH-2-068-A7488-A', 'JH-2-068-A7488'; set method=manual to fix by hand
nst_nfosi_ntap	JH-2-068-FH52C-A			unmatched	no portal specimenID among 'JH-2-068-FH52C-A', 'JH-2-068-FH52C'; set method=manual to fix by hand
nst_nfosi_ntap	JH-2-072-3DD4G-A	JH-2-072-3DD4G	JH-2-072	strip_last_segment	
nst_nfosi_ntap	JH-2-074-HE12C-A	JH-2-074-HE12C	JH-2-074	strip_last_segment	
nst_nfosi_ntap	JH-2-075-3HE68-A	JH-2-075-3HE68	JH-2-075	strip_last_segment	
nst_nfosi_ntap	JH-2-075-4F211-A	JH-2-075-4F211	JH-2-075	strip_last_segment	
nst_nfosi_ntap	JH-2-076-41G1H-A	JH-2-076-41G1H	JH-2-076	strip_last_segment	
nst_nfosi_ntap	JH-2-076-811H2-A	JH-2-076-811H2	JH-2-076	strip_last_segment	
nst_nfosi_ntap	JH-2-077-88G11-A	JH-2-077-88G11	JH-2-077	strip_last_segment	
nst_nfosi_ntap	JH-2-079-9D31F-A			unmatched	no portal specimenID among 'JH-2-079-9D31F-A', 'JH-2-079-9D31F'; set method=manual to fix by hand
nst_nfosi_ntap	JH-2-079-CB92G-A	JH-2-079-CB92G	JH-2-079	strip_last_segment	
nst_nfosi_ntap	JH-2-082-B5148-A	JH-2-082-B5148	JH-2-082	strip_last_segment	
nst_nfosi_ntap	JH-2-082-G8357-A	JH-2-082-G8357	JH-2-082	strip_last_segment	
nst_nfosi_ntap	JH-2-085-F2983-A	JH-2-085-F2983	JH-2-085	strip_last_segment	
nst_nfosi_ntap	JH-2-086-5EA11-A	JH-2-086-5EA11	JH-2-086	strip_last_segment	
nst_nfosi_ntap	JH-2-089-H8EBA-A	JH-2-089-H8EBA	JH-2-089	strip_last_segment	
