prop,nvals,vals
etag,27325,""
type,3,NA|file|table
currentVersion,25,NA|1|2|5|4|3|12|34|6|7|9|8|11|18|14|10|22|15|16|19|20|13|40|39|17
parentId,2164,""
benefactorId,116,""
projectId,54,""
modifiedOn,24333,""
modifiedBy,15,NA|3342573|3437353|3370706|3419403|3428107|3409504|3409135|3335866|3409405|3409186|3409222|3389310|1418096|3437426
age,52,""
sciDataRelease,3,NA|FALSE|TRUE
accessTeam,3,NA|3391263|273948
modelOf,9,NA||nan|Neurofibroma|Malignant Peripheral Nerve Sheath Tumor|Plexiform Neurofibroma|Neurofibromatosis 1|Low Grade Glioma|NA
accessType,7,NA|PRIVATE|REQUEST ACCESS|PUBLIC||nan|NA
libraryPreparationMethod,9,NA||TruSeq|nan|IDT xGen Exome Research Panel|True_seq standard total RNA library kit|Agilent SureSelect Human All Exon V5+UTR|TruSeq stranded prep with depletion|NA
fileType,6,NA||exel|word|csv|jpg
age_months,5,NA|1|7||6 weeks mice
disease,9,"NA|Control|Neurofibromatosis 1|Not Applicable|Control,Neurofibromatosis 1||Orphanet:638|tumor|NF1 - MPNST"
sampleIdentifier,1,NA
tissueType,3,NA|Not Applicable|
dataFileSizeBytes,3137,""
dataFileMD5Hex,6401,""
Filename,809,""
assayTarget,21,"NA|nuclei|Nanog|Oct3|p75|SOX2|Tra1-60|HOXB7|SOX10|AP2a||Nestin|GAP43|GFP|Ku80|S100beta|neurofibromin|tyrosine hydroxylase|H3K27ac,pAKT,GAPDH|H3K27ac,pAKT,AKT|NF1"
eTag,655,""
entityId,894,""
experimentalTimepoint,9,"NA||48h|72h|0-14|0,3|0-16|14|varied"
cellLineMetadataSynId,5,NA||syn7506024|syn11614204|syn7805075
individualMetadataSynId,3,NA|syn7805075|
specimenMetadataSynId,3,NA|syn7805075|
isGenomewideNetwork,2,NA|FALSE
bodyPart,1,NA
dissociationMethod,4,NA||none|NA
failedQC,1,NA
filename,397,""
isXenograft,5,NA|FALSE||TRUE|NA
nucleicAcidSource,4,NA||bulk cell|NA
compoundId,318,""
organism,3,NA||Human
caseNumber,50,""
dob,46,""
dod,12,NA|1433116800000|1435276800000|NaN|1433462400000|1.435536e+12|1433203200000|1433289600000|1.454976e+12|1455062400000|1458777600000|1455148800000
experimentalTimePointUnit,3,NA||hours
sampleID,40,""
secondCompoundDose,3,NA|50|15
secondCompoundDoseUnit,3,NA||mg/kg
studySite,12,"NA|UCSF: Horvai|IU: Clapp|Matt Steensma, VAI||Indiana University|UTSW: Maya DePlaza|UCSF: Kevin Shannon|UCSF: Elliot Stieglitz|UCSF: Ben Braun|UCSF|UCSF: Jean Nakamura"
initiative,8,NA|Developmental and HyperActive Ras Tumor Specialized Programs of Research Excellence|Synodos|Gene Therapy Initiative||MPNST Patient-Derived Model Centers|Open Proposal Program|Opening the Data Drawers
channel,4,NA||Cy3|Cy5
histology,15,NA||Glioblastoma multiforme|Anaplastic astrocytoma|Anaplastic ganglioglioma|Pilocytic astrocytoma|Ganglioglioma|Xanthoastrocytoma|Anaplastic xanthoastrocytoma|High-grade glioma|Low-grade calcifying astrocytoma|Optic pathway glioma|Diffuse glioma|Anaplastic diffuse glioma|Gliosarcoma
grade,6,NA||IV|III|I|II
isMultiSample,3,NA|FALSE|TRUE
cellLine,9,NA|ipn02.8|ipNF95.6|ipn97.4|ipNF95.11bC|ipNF95.11bC_T||ipn02.8_Clone 5|multiple
cellLineSource,1,NA
isPairedEnd,2,NA|TRUE
detailed_diagnosis,3,NA|Sporadic Schwannomatosis|Familial Schwannomatosis
file,1,NA
tissueID,1,NA
chemicalDataType,9,"NA|chemical structure|target|chemical structure, chemical hashed fingerprint|chemical identifier|complex database|chemical hashed fingerprint||tool"
chemicalDatabase,6,NA|ChEMBL|DGIdb|Drug-Target Explorer|ChemicalProbes|
fingerprintType,6,NA||circular|extended|klekota and roth|maccs
inputDataType,3,"NA||gene list, SMILES"
outputDataType,3,"NA||gene list, small molecule, pathway or network"
softwareAuthor,3,"NA||Robert Allaway, Sage Bionetworks"
softwareLanguage,3,NA||R
softwareLanguageVersion,3,NA||3.4.3
softwareName,3,NA||Drug-Target Explorer
softwareRepository,3,NA||Github
softwareRepositoryType,3,NA||source code
softwareType,3,NA||web user interface
softwareVersion,3,NA||beta
structureFormat,3,NA|SMILES|
experimentNumber,30,""
experimenter,14,NA|Fiona||Jiale|Grace|Patrick|Fiona Mike|Yao|Hong|Mike|Gabriela & Danny|Gabriela|Kanupriya Gabriela Fiona Danny|Danny
specimenId,52,""
individualId,52,""
modelSystemStrainNomenclature,4,NA||nan|NA
transplantationRecipientSpecies,4,NA||Human|mouse
experimentId,42,""
proteinExtractSource,1,NA
