assay,cellType,dataSubtype,dataType,diagnosis,individualID,individualIdSource,isCellLine,isMultiIndividual,isMultiSpecimen,isPrimaryCell,organ,platform,sex,species,specimenID,specimenIdSource,tissue,cellSubType,experimentalCondition,experimentalTimePoint,genePerturbationTechnology,genePerturbationType,genePerturbed,modelSystem,timePointUnit,transplantationDonorSpecies,transplantationDonorTissue,transplantationRecipientTissue,transplantationType,tumorType,consortium,fileFormat,fundingAgency,resourceType,nf1Genotype,nf2Genotype,study,id,name,studyId,studyName,reportMilestone,readPair,compoundDose,compoundDoseUnit,compoundDoseRange,compoundName,drugScreenType,secondCompoundName,analysisType,isStranded,libraryPrep,readLength,readPairOrientation,readStrandOrigin,multipleTestingAdjustmentMethod,differentialExpressionMethod,alignmentMethod,runType,transcriptQuantificationMethod,dataFileHandleId,chemicalStructure,structureType,createdOn,isModelSystem,modelSystemName,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,age,sciDataRelease,accessTeam,modelOf,accessType,libraryPreparationMethod,fileType,age_months,disease,sampleIdentifier,tissueType,dataFileSizeBytes,dataFileMD5Hex,Filename,assayTarget,eTag,entityId,experimentalTimepoint,cellLineMetadataSynId,individualMetadataSynId,specimenMetadataSynId,isGenomewideNetwork,bodyPart,dissociationMethod,failedQC,filename,isXenograft,nucleicAcidSource,compoundId,organism,caseNumber,dob,dod,experimentalTimePointUnit,sampleID,secondCompoundDose,secondCompoundDoseUnit,studySite,initiative,channel,histology,grade,isMultiSample,cellLine,cellLineSource,isPairedEnd,detailed_diagnosis,file,tissueID,chemicalDataType,chemicalDatabase,fingerprintType,inputDataType,outputDataType,softwareAuthor,softwareLanguage,softwareLanguageVersion,softwareName,softwareRepository,softwareRepositoryType,softwareType,softwareVersion,structureFormat,experimentNumber,experimenter,specimenId,individualId,modelSystemStrainNomenclature,transplantationRecipientSpecies,experimentId,proteinExtractSource
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample9,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346057,PT.2.9.S100.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample9,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346059,PT2.9.CD34.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample9,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346060,PT2.9.CD56.20X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample9,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346061,PT2.9.CD56.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample9,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346062,PT2.9.S100.20X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample9,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346063,PT2.9.SOX10.20X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample9,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346064,PT2.9.SOX10.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample9,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346065,PT2.9.SOX2.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample8,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346067,PT2.8.CD34.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample8,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346068,PT2.8.S100.20X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample8,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346069,PT2.8.S100.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample8,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346070,PT2.8.SOX10.20X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample8,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346071,PT2.8.SOX10.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,FALSE,FALSE,,"",,female,Homo sapiens,patient2sample8,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn18346072,PT2.8.SOX2.20X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,,,,"",,female,Homo sapiens,patient2sample8,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of cNFs,syn18346073,PT2.8.SOX2.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,,,,"",,female,Homo sapiens,patient2sample7,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of cNFs,syn18346075,PT2.7.CD34.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,,,,"",,female,Homo sapiens,patient2sample7,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of cNFs,syn18346076,PT2.7.S100.20X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,,,,"",,female,Homo sapiens,patient2sample7,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of cNFs,syn18346077,PT2.7.S100.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,,,,"",,female,Homo sapiens,patient2sample7,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of cNFs,syn18346078,PT2.7.SOX10.20X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,,,,"",,female,Homo sapiens,patient2sample7,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of cNFs,syn18346079,PT2.7.SOX10.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,patient2,,,,,,"",,female,Homo sapiens,patient2sample7,,,,"",,,,,,,,,,,"",,tif,NTAP,experimentalData,-/-,"",3D Models of cNFs,syn18346081,PT2.7.SOX2.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,raw,image,Neurofibromatosis type 1,patient2,,,,,,"",,female,Homo sapiens,patient2sample6,,,,"",,,,,,,,,,,Cutaneous Neurofibroma,,tif,NTAP,experimentalData,-/-,"",3D Models of cNFs,syn18346084,PT2.6.SOX10.20X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,raw,image,Neurofibromatosis type 1,patient2,,,,,,"",,female,Homo sapiens,patient2sample6,,,,"",,,,,,,,,,,Cutaneous Neurofibroma,,tif,NTAP,experimentalData,-/-,"",3D Models of cNFs,syn18346085,PT2.6.SOX10.40X.tif,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
