assay,cellType,dataSubtype,dataType,diagnosis,individualID,individualIdSource,isCellLine,isMultiIndividual,isMultiSpecimen,isPrimaryCell,organ,platform,sex,species,specimenID,specimenIdSource,tissue,cellSubType,experimentalCondition,experimentalTimePoint,genePerturbationTechnology,genePerturbationType,genePerturbed,modelSystem,timePointUnit,transplantationDonorSpecies,transplantationDonorTissue,transplantationRecipientTissue,transplantationType,tumorType,consortium,fileFormat,fundingAgency,resourceType,nf1Genotype,nf2Genotype,study,id,name,studyId,studyName,reportMilestone,readPair,compoundDose,compoundDoseUnit,compoundDoseRange,compoundName,drugScreenType,secondCompoundName,analysisType,isStranded,libraryPrep,readLength,readPairOrientation,readStrandOrigin,multipleTestingAdjustmentMethod,differentialExpressionMethod,alignmentMethod,runType,transcriptQuantificationMethod,dataFileHandleId,chemicalStructure,structureType,createdOn,isModelSystem,modelSystemName,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,age,sciDataRelease,accessTeam,modelOf,accessType,libraryPreparationMethod,fileType,age_months,disease,sampleIdentifier,tissueType,dataFileSizeBytes,dataFileMD5Hex,Filename,assayTarget,eTag,entityId,experimentalTimepoint,cellLineMetadataSynId,individualMetadataSynId,specimenMetadataSynId,isGenomewideNetwork,bodyPart,dissociationMethod,failedQC,filename,isXenograft,nucleicAcidSource,compoundId,organism,caseNumber,dob,dod,experimentalTimePointUnit,sampleID,secondCompoundDose,secondCompoundDoseUnit,studySite,initiative,channel,histology,grade,isMultiSample,cellLine,cellLineSource,isPairedEnd,detailed_diagnosis,file,tissueID,chemicalDataType,chemicalDatabase,fingerprintType,inputDataType,outputDataType,softwareAuthor,softwareLanguage,softwareLanguageVersion,softwareName,softwareRepository,softwareRepositoryType,softwareType,softwareVersion,structureFormat,experimentNumber,experimenter,specimenId,individualId,modelSystemStrainNomenclature,transplantationRecipientSpecies,experimentId,proteinExtractSource
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-004,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-004 xenograft,,"",,"","",,,"",,,"","","",xenograft,Plexiform Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079326,167976-1163240565.UCSC_CODING.sample_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321273,,,1548270099622,,,3382314,5887c615-e54f-4c9c-9fc0-6231ea9e7f5e,file,2,syn19226800,syn19226800,syn4939902,1639696303242,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-006,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-006 Plexiform Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Plexiform Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079327,136860-1163242013.UCSC_CODING.sample_cumulative_coverage_counts.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321275,,,1548270102436,,,3382314,3789f35b-cb29-42ef-a185-024026918c35,file,2,syn19226800,syn19226800,syn4939902,1639696303318,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-013,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-013 Plexiform Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Plexiform Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079328,136819-1163242014.UCSC_CODING.sample_interval_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321277,,,1548270106274,,,3382314,560b6fa3-1f44-47b6-82c4-30821f45f9f0,file,2,syn19226800,syn19226800,syn4939902,1639696303396,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-026,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-026 Neurofibroma,,Primary Tumor,,Right Supraclavicular,"",,,"",,,"","","","",Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079329,136839-1163242079.UCSC_CODING.sample_cumulative_coverage_proportions.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321280,,,1548270111330,,,3382314,b5cfedd4-f769-4dab-848f-844b16875482,file,2,syn19226800,syn19226800,syn4939902,1639696303471,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-009,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-009 Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079330,136814-1163242069.UCSC_CODING.sample_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321282,,,1548270114162,,,3382314,a4aa2129-4662-438e-b909-3eb9cacc8e73,file,1,syn18079271,syn17866470,syn4939902,1639696303546,3342573,,FALSE,,"",PRIVATE,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-009,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-009 Blood,,Buffy Coat,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/-,+/+,JHU NTAP Biobank,syn18079331,136811-1163242045.UCSC_CODING.sample_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321285,,,1548270117545,,,3382314,8a95bf61-d46d-4d0f-a5bb-6331f593749d,file,2,syn19226800,syn19226800,syn4939902,1639696303620,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-032,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-032 Skin,,Skin,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/-,+/+,JHU NTAP Biobank,syn18079332,136846-1163242040.UCSC_CODING.sample_interval_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321315,,,1548270135864,,,3382314,6bb80946-8820-402c-8a69-44cf4fbec118,file,2,syn19226800,syn19226800,syn4939902,1639696303696,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-014,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-014 Blood,,Buffy Coat,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/-,+/+,JHU NTAP Biobank,syn18079333,136822-1163242038.UCSC_CODING.sample_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321337,,,1548270138501,,,3382314,388be034-4b0e-47e8-9711-5c25cbc5ca7c,file,2,syn19226800,syn19226800,syn4939902,1639696303773,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-004,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-004 Plexiform Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Plexiform Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079334,136854-1163242060.UCSC_CODING.sample_interval_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321347,,,1548270141326,,,3382314,c66f6172-b569-4cf4-9541-23ae3fa41962,file,2,syn19226800,syn19226800,syn4939902,1639696303850,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-019,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-019 Blood,,Buffy Coat,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/-,+/+,JHU NTAP Biobank,syn18079335,136831-1163242015.UCSC_CODING.sample_gene_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321350,,,1548270145829,,,3382314,9f47fb1b-4714-4899-b3e5-474d5eb44117,file,2,syn19226800,syn19226800,syn4939902,1639696303925,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-026,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-026 Blood,,Buffy Coat,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/-,+/+,JHU NTAP Biobank,syn18079336,169125-0305047992.UCSC_CODING.sample_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321352,,,1548270149409,,,3382314,f94632c0-62ca-4354-bdef-0ce9860f2046,file,2,syn19226800,syn19226800,syn4939902,1639696304002,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-025,NTAP Biobank,,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-025 Blood,,Buffy Coat,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/-,+/+,JHU NTAP Biobank,syn18079337,136838-1163242071.UCSC_CODING.sample_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321354,,,1548270153746,,,3382314,8d1c73c1-b5b7-4895-95f9-e90a090a6271,file,2,syn19226800,syn19226800,syn4939902,1639696304077,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-006,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-006 Blood,,Buffy Coat,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/-,+/+,JHU NTAP Biobank,syn18079338,136861-1163242021.UCSC_CODING.sample_gene_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321356,,,1548270158508,,,3382314,96799af3-b217-42db-8418-621c63d83ae8,file,2,syn19226800,syn19226800,syn4939902,1639696304149,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-023,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-023 Xenograft,,"",,"","",,,"",,,"","","",xenograft,Malignant Peripheral Nerve Sheath Tumor,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079339,169124-0305047998.UCSC_CODING.sample_cumulative_coverage_counts.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321359,,,1548270162251,,,3382314,2fbf53e1-de96-437a-bafb-4a8e7d21e773,file,2,syn19226800,syn19226800,syn4939902,1639696304223,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-023,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-023 Blood,,Buffy Coat,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/-,+/+,JHU NTAP Biobank,syn18079340,136835-1163242047.UCSC_CODING.sample_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321361,,,1548270165512,,,3382314,f96344d8-71fa-44f8-94a2-a3df47697ef6,file,2,syn19226800,syn19226800,syn4939902,1639696304296,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-015,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-015 Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079341,167983-1163240621.UCSC_CODING.sample_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321363,,,1548270168500,,,3382314,6d6e3013-30b6-49d5-9f89-56ddcca51560,file,2,syn19226800,syn19226800,syn4939902,1639696304370,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-004,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-004 Plexiform Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Plexiform Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079342,136854-1163242060.UCSC_CODING.sample_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321365,,,1548270171270,,,3382314,368347f6-baf1-41f2-b555-0cc26ca54271,file,2,syn19226800,syn19226800,syn4939902,1639696304447,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-004,NTAP Biobank,TRUE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-004 NF Cell Line,,"",,"","",,,"",,,"","","","",Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079343,167978-1163240581.UCSC_CODING.sample_gene_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321367,,,1548270175591,,,3382314,1b709656-7e30-446d-b019-7346997d07e6,file,2,syn19226800,syn19226800,syn4939902,1639696304525,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-016,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-016 Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079344,136827-1163242078.UCSC_CODING.sample_interval_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321369,,,1548270179987,,,3382314,3bbf80d8-db7a-44ee-b610-0eab30622469,file,2,syn19226800,syn19226800,syn4939902,1639696304597,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-031,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-031 Malignant Peripheral Nerve Sheath Tumor,,Primary Tumor,,Left Retroperitoneal Tumor,"",,,"",,,"","","","",Malignant Peripheral Nerve Sheath Tumor,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079345,136843-1163242016.UCSC_CODING.sample_gene_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321371,,,1548270184606,,,3382314,58f98b0f-796b-420e-bd82-dc14126b238f,file,2,syn19226800,syn19226800,syn4939902,1639696304675,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,NA12891,"",TRUE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,whole blood,,Buffy Coat,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/+,+/+,JHU NTAP Biobank,syn18079346,NA12891-0238065917.UCSC_CODING.sample_interval_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321374,,,1548270193140,,,3382314,258bc748-aa76-436a-9fc1-a9b8842157da,file,1,syn18079271,syn17866470,syn4939902,1639696304751,3342573,,FALSE,,"",PRIVATE,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-015,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-015 Malignant Peripheral Nerve Sheath Tumor,,Primary Tumor,,Sciatic Nerve,"",,,"",,,"","","","",Malignant Peripheral Nerve Sheath Tumor,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079347,167982-1163240613.UCSC_CODING.sample_interval_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321376,,,1548270200394,,,3382314,e22b7c84-6ff7-4480-8186-d4702035f88c,file,1,syn18079271,syn17866470,syn4939902,1639696304823,3342573,,FALSE,,"",PRIVATE,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-017,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-017 Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079348,136828-1163242086.UCSC_CODING.sample_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321378,,,1548270203297,,,3382314,ca887ed4-836c-47fb-856e-bd35f41eb3b4,file,2,syn19226800,syn19226800,syn4939902,1639696304891,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-016,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-016 Malignant Peripheral Nerve Sheath Tumor,,Primary Tumor,,Left Superior Mediastinum,"",,,"",,,"","","","",Malignant Peripheral Nerve Sheath Tumor,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079349,136825-1163242062.UCSC_CODING.sample_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321381,,,1548270206155,,,3382314,29e61058-b0c9-4952-a759-2630641e0fb6,file,1,syn18079271,syn17866470,syn4939902,1639696304970,3342573,,FALSE,,"",PRIVATE,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-015,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-015 Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079350,167983-1163240621.UCSC_CODING.sample_cumulative_coverage_proportions.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321383,,,1548270210919,,,3382314,39d59c17-59d4-4843-a8d3-0ac941bfea70,file,2,syn19226800,syn19226800,syn4939902,1639696305048,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-013,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-013 Plexiform Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Plexiform Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079351,136819-1163242014.UCSC_CODING.sample_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321385,,,1548270216119,,,3382314,0150510a-a10e-4a48-b863-a551faaa4ab6,file,2,syn19226800,syn19226800,syn4939902,1639696305126,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-031,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-031 Blood,,Buffy Coat,,"","",,,"",,,"","","","","",,csv,NTAP,experimentalData,+/-,+/+,JHU NTAP Biobank,syn18079352,136844-1163242024.UCSC_CODING.sample_interval_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321387,,,1548270221777,,,3382314,fc79d136-ff34-431c-83aa-a71855b81aea,file,2,syn19226800,syn19226800,syn4939902,1639696305202,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-032,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-032 Plexiform Neurofibroma,,Primary Tumor,,Mid Upper Back,"",,,"",,,"","","","",Plexiform Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079353,136845-1163242032.UCSC_CODING.sample_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321389,,,1548270223898,,,3382314,817d5a8b-2931-4c84-afd7-d66be272cb26,file,2,syn19226800,syn19226800,syn4939902,1639696305281,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-002,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Male,Homo sapiens,2-002 Plexiform Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Plexiform Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079354,136849-1163242020.UCSC_CODING.sample_interval_summary.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321391,,,1548270230893,,,3382314,ce349249-d843-4865-b744-b714de7eee06,file,1,syn18079271,syn17866470,syn4939902,1639696305358,3342573,,FALSE,,"",PRIVATE,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Exome Sequencing,,processed,genomicVariants,Neurofibromatosis type 1,2-006,NTAP Biobank,FALSE,FALSE,FALSE,TRUE,,"",Female,Homo sapiens,2-006 Plexiform Neurofibroma,,Primary Tumor,,"","",,,"",,,"","","","",Plexiform Neurofibroma,,csv,NTAP,experimentalData,-/-,+/+,JHU NTAP Biobank,syn18079355,136860-1163242013.UCSC_CODING.sample_interval_statistics.csv,syn4939902,A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),,,,,,,,,,,,,"",,,,,,,36321393,,,1548270234439,,,3382314,5a844e39-1d6d-4881-8ea9-1a855b0bb892,file,2,syn19226800,syn19226800,syn4939902,1639696305430,3342573,,TRUE,3391263,"",REQUEST ACCESS,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
